"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ProjectCode.nlogo"
"Demographic Rates"
"12/17/2025 13:32:20:219 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","religious-tolerance","linguistic-tolerance","birth-rate","death-rate","viz-mode","rel-focus","lang-focus","[step]","ticks","count households","count households with [religion = ""Muslim""]","count households with [religion = ""Hindu""]","count households with [religion = ""Christian""]","count households with [language = ""Urdu""]","count households with [language = ""Sindhi""]","count households with [language = ""Pashto""]","global-religion-similarity","max [m-muslim] of managers","max [m-hindu] of managers","max [m-christian] of managers","standard-deviation [m-total] of managers"
"2","5","15","20","8","Religion","Muslim","Urdu","75","75","6816","6545","54","206","3415","702","1034","93.31712276870434","894","43","60","250.87757736300273"
"1","5","5","20","8","Religion","Muslim","Urdu","72","72","6933","6689","54","179","3304","781","1260","94.18728302273686","881","30","54","280.6141490616515"
"2","5","15","20","8","Religion","Muslim","Urdu","76","76","6889","6613","55","209","3459","712","1040","93.30421400329872","910","44","59","252.62341189069176"
"1","5","5","20","8","Religion","Muslim","Urdu","73","73","7049","6799","53","185","3349","802","1281","94.14750569703352","894","29","56","284.3000175870554"
"2","5","15","20","8","Religion","Muslim","Urdu","77","77","6956","6680","55","208","3492","721","1045","93.32562091013806","917","47","61","254.88931982230469"
"1","5","5","20","8","Religion","Muslim","Urdu","74","74","7132","6883","53","185","3391","807","1297","94.20097432251256","905","28","57","288.2707344491793"
"1","5","5","20","8","Religion","Muslim","Urdu","75","75","7230","6977","53","189","3443","824","1313","94.21158055738395","919","28","58","291.09379033439"
"2","5","15","20","8","Religion","Muslim","Urdu","78","78","7058","6775","55","215","3547","725","1061","93.2896526220007","928","45","60","258.5393865140957"
"1","5","5","20","8","Religion","Muslim","Urdu","76","76","7349","7094","55","189","3495","834","1343","94.21362787619029","934","29","60","295.352232387823"
"2","5","15","20","8","Religion","Muslim","Urdu","79","79","7118","6829","54","222","3578","738","1062","93.21485594235506","940","47","62","261.7483948799347"
"1","5","5","20","8","Religion","Muslim","Urdu","77","77","7427","7166","59","191","3528","852","1364","94.23397560539962","951","29","59","297.70866247460503"
"2","5","15","20","8","Religion","Muslim","Urdu","80","80","7200","6915","54","218","3627","740","1073","93.28213510890495","945","46","65","261.9551425951133"
"1","5","5","20","8","Religion","Muslim","Urdu","78","78","7515","7246","59","199","3565","869","1373","94.15557123636871","959","31","60","300.09216993703177"
"2","5","15","20","8","Religion","Muslim","Urdu","81","81","7306","7020","55","218","3686","750","1087","93.4140139155901","950","46","62","265.1723080209856"
"1","5","5","20","8","Religion","Muslim","Urdu","79","79","7606","7333","60","202","3609","877","1390","94.12327274407862","970","32","62","304.1650577448718"
"2","5","15","20","8","Religion","Muslim","Urdu","82","82","7376","7090","55","218","3713","761","1105","93.47623972684016","964","50","62","269.68475908186906"
"1","5","5","20","8","Religion","Muslim","Urdu","80","80","7700","7416","61","212","3664","886","1399","94.01775983458263","979","32","62","308.10544837808607"
"2","5","15","20","8","Religion","Muslim","Urdu","83","83","7474","7178","56","226","3764","770","1115","93.43210522263898","969","48","63","272.16421417431826"
"1","5","5","20","8","Religion","Muslim","Urdu","81","81","7803","7514","63","215","3729","896","1413","93.90492637858256","992","34","66","312.3897557173157"
"2","5","15","20","8","Religion","Muslim","Urdu","84","84","7557","7257","57","229","3798","781","1129","93.35602676197699","983","49","65","276.11284043592536"
"1","5","5","20","8","Religion","Muslim","Urdu","82","82","7889","7595","64","219","3784","905","1423","93.86967329422554","1002","34","66","315.4011917617083"
"2","5","15","20","8","Religion","Muslim","Urdu","85","85","7635","7331","57","233","3849","784","1141","93.34222835354656","999","50","66","280.18801460699876"
"1","5","5","20","8","Religion","Muslim","Urdu","83","83","7995","7699","63","222","3839","915","1439","93.91124570252363","1009","35","67","317.05126799296625"
"2","5","15","20","8","Religion","Muslim","Urdu","86","86","7755","7445","59","236","3915","798","1154","93.34962203356321","1006","50","67","282.8359012905248"
"1","5","5","20","8","Religion","Muslim","Urdu","84","84","8104","7802","63","228","3894","926","1466","93.86273969289743","1031","35","68","323.5778386216504"
"2","5","15","20","8","Religion","Muslim","Urdu","87","87","7864","7546","62","241","3972","809","1173","93.30956862284755","1033","53","66","287.98452777066706"
"1","5","5","20","8","Religion","Muslim","Urdu","85","85","8210","7903","66","230","3954","932","1491","93.85936368063334","1048","35","70","327.36336270546536"
"2","5","15","20","8","Religion","Muslim","Urdu","88","88","7963","7641","63","244","4031","812","1191","93.25857886107252","1043","55","69","291.76237085297964"
"1","5","5","20","8","Religion","Muslim","Urdu","86","86","8320","8008","69","232","4000","943","1516","93.81889727708543","1060","38","70","329.5660049731873"
"2","5","15","20","8","Religion","Muslim","Urdu","89","89","8039","7712","63","249","4074","818","1202","93.21393894252465","1058","54","70","295.88712849743484"
